mes_ano,UF,regiao,Novos_Casos,obitosNovos
2021-07,MS,Centro-Oeste,20551,734
2021-07,MT,Centro-Oeste,37644,732
2021-07,PA,Norte,19519,579
2021-07,PB,Nordeste,25606,381
2021-07,PE,Nordeste,40493,1099
2021-07,PI,Nordeste,13918,238
2021-07,PR,Sul,94336,4505
2021-07,RJ,Sudeste,73640,3799
2021-07,RN,Nordeste,19500,325
2021-07,RO,Norte,10238,232
2021-07,RR,Norte,7841,110
2021-07,RS,Sul,152389,1936
2021-07,SC,Sul,61302,1117
2021-07,SE,Nordeste,10750,212
2021-07,SP,Sudeste,330469,11315
2021-07,TO,Norte,12811,305
2021-08,AC,Norte,682,15
2021-08,AL,Nordeste,5814,263
2021-08,AM,Norte,7569,160
2021-08,AP,Norte,1209,46
2021-08,BA,Nordeste,27004,729
2021-08,CE,Nordeste,12196,496
2021-08,DF,Centro-Oeste,20305,434
2021-08,ES,Sudeste,19764,348
2021-08,GO,Centro-Oeste,73869,1664
2021-08,MA,Nordeste,11948,395
2021-08,MG,Sudeste,99814,2511
2021-08,MS,Centro-Oeste,12619,432
2021-08,MT,Centro-Oeste,29763,689
2021-08,PA,Norte,11341,405
2021-08,PB,Nordeste,11274,200
2021-08,PE,Nordeste,16744,599
2021-08,PI,Nordeste,6741,110
2021-08,PR,Sul,78956,2238
2021-08,RJ,Sudeste,96327,3188
2021-08,RN,Nordeste,5368,174
2021-08,RO,Norte,5366,110
2021-08,RR,Norte,3792,84
2021-08,RS,Sul,40965,865
2021-08,SC,Sul,42612,725
2021-08,SE,Nordeste,3193,82
2021-08,SP,Sudeste,204807,6840
2021-08,TO,Norte,8740,171
2021-09,AC,Norte,88,2
2021-09,AL,Nordeste,1408,64
2021-09,AM,Norte,1285,18
2021-09,AP,Norte,175,7
2021-09,BA,Nordeste,5227,147
2021-09,CE,Nordeste,3163,112
2021-09,DF,Centro-Oeste,9547,158
2021-09,ES,Sudeste,8354,98
2021-09,GO,Centro-Oeste,20044,490
2021-09,MA,Nordeste,3348,70
2021-09,MG,Sudeste,29957,689
2021-09,MS,Centro-Oeste,2137,93
2021-09,MT,Centro-Oeste,6917,157
2021-09,PA,Norte,2663,78
2021-09,PB,Nordeste,3248,53
2021-09,PE,Nordeste,5907,156
2021-09,PI,Nordeste,1582,26
2021-09,PR,Sul,20420,577
2021-09,RJ,Sudeste,31081,1423
2021-09,RN,Nordeste,1311,29
2021-09,RO,Norte,999,25
2021-09,RR,Norte,792,26
2021-09,RS,Sul,10457,254
2021-09,SC,Sul,10502,233
2021-09,SE,Nordeste,198,11
2021-09,SP,Sudeste,37622,1400
2021-09,TO,Norte,2056,30
